StCoFIPS,hw1_min_frequency,hw1_min_duration,hw1_min_intensity,hw1_mean_frequency,hw1_mean_duration,hw1_mean_intensity,hw1_max_frequency,hw1_max_duration,hw1_max_intensity,hw3_min_frequency,hw3_min_duration,hw3_min_intensity,hw3_mean_frequency,hw3_mean_duration,hw3_mean_intensity,hw3_max_frequency,hw3_max_duration,hw3_max_intensity,hw5_min_frequency,hw5_min_duration,hw5_min_intensity,hw5_mean_frequency,hw5_mean_duration,hw5_mean_intensity,hw5_max_frequency,hw5_max_duration,hw5_max_intensity
20041,96,1.6770833333333333,23.053878472222223,79,2.050632911392405,26.930417018284107,121,1.3388429752066116,32.59304132231405,16,3.75,23.162645833333332,17,4.588235294117647,27.06311437908497,9,3.3333333333333335,32.51422222222222,4,5.25,23.309333333333335,4,8.5,27.086777777777776,1,5,31.918
20043,80,2.0375,23.132968727106228,65,2.4923076923076923,27.057791575091574,106,1.5188679245283019,32.35362106918239,17,4.764705882352941,23.1974998922646,23,4.608695652173913,27.263324016563146,14,3.857142857142857,32.575988095238095,5,7.6,23.269332967032966,8,7.125,27.304244047619047,4,5.25,32.455749999999995
20045,80,2.0375,23.421714583333333,63,2.5714285714285716,27.36058515998992,106,1.528301886792453,32.98104166666667,20,4.35,23.621858333333332,19,5.578947368421052,27.567729741019214,12,4.083333333333333,33.018368055555555,6,6.5,23.7355,10,7.3,27.61143650793651,2,7,33.22479166666666
20047,99,1.6464646464646464,21.62316738816739,81,2.0246913580246915,25.554102880658437,127,1.2677165354330708,31.40382939632546,16,3.8125,21.758035714285715,23,4.043478260869565,25.709666666666667,6,3.5,31.571055555555557,2,6.5,21.690119047619046,7,6,25.782238095238096,1,5,32.118
20049,88,1.8295454545454546,23.24841314935065,78,2.0641025641025643,27.121818376068376,112,1.4553571428571428,32.75677529761905,21,3.9047619047619047,23.305969387755102,21,4.095238095238095,27.226515873015874,9,3.7777777777777777,32.957092592592595,5,5.6,23.414571428571428,6,5.833333333333333,27.3535,3,5,32.882666666666665
20051,104,1.5576923076923077,21.675953525641024,86,1.872093023255814,25.687583333333333,118,1.3644067796610169,31.65924858757062,13,4,21.936089743589744,13,4.923076923076923,25.8559358974359,9,3.7777777777777777,31.314037037037036,5,5.2,21.935,8,5.875,25.871,2,5.5,31.245666666666665
20053,102,1.588235294117647,22.450315359477123,85,1.9058823529411764,26.314351633986927,124,1.2983870967741935,32.03573790322581,16,3.5625,22.65357291666667,15,4.733333333333333,26.442325925925925,4,4.75,32.010374999999996,3,5,22.636,6,7.166666666666667,26.51650925925926,2,6.5,31.81075
20055,99,1.6565656565656566,20.581030303030303,83,2,24.67427620003825,125,1.304,31.012661333333334,15,3.8,20.91946666666667,17,4.588235294117647,24.905877917833802,5,3.6,31.137533333333334,4,5.5,20.754666666666665,7,6.285714285714286,24.979155895691612,1,5,31.496
20057,96,1.6875,21.163008680555556,79,2.0632911392405062,25.155491561181435,127,1.2677165354330708,31.046200787401574,18,3.7777777777777777,21.348824074074074,18,4.777777777777778,25.309657407407407,8,3.125,31.2115625,2,5.5,21.244,8,6.5,25.305791666666668,0,NA,NA
20059,83,1.9518072289156627,23.307339070567988,65,2.5538461538461537,27.23250170940171,100,1.63,32.933725555555554,18,4.444444444444445,23.505507936507936,21,5.142857142857143,27.383695767195768,15,4,33.1395037037037,6,6.333333333333333,23.56124603174603,8,7.625,27.502930555555555,3,6.666666666666667,33.44085185185185
20061,96,1.6979166666666667,23.087650793650795,74,2.2162162162162162,26.95730855855856,121,1.3471074380165289,32.57624242424242,16,3.75,23.211529761904764,19,4.421052631578948,27.052149122807016,9,3.6666666666666665,32.66503703703704,4,5.5,23.300285714285714,4,8.5,27.1725,3,5,32.52066666666667
20063,93,1.7419354838709677,20.791640040962623,84,1.9285714285714286,24.89911933106576,125,1.296,31.032018666666666,17,4.0588235294117645,20.90308963585434,17,4.588235294117647,25.079766106442577,5,3.6,30.941466666666667,5,5.4,20.948171428571428,6,7.166666666666667,25.091142857142856,1,5,31.464
20065,100,1.62,21.333873333333333,87,1.9080459770114941,25.40738601532567,124,1.314516129032258,31.40646505376344,15,3.8,21.36748888888889,17,4.470588235294118,25.552210784313726,6,3.3333333333333335,31.359444444444446,4,5.5,21.318916666666667,3,9.666666666666666,25.53863888888889,0,NA,NA
